Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
119059264,1450,1450,BikeExchange,???,Trek,road-bike,Trek Roscoe 8,,,Small,
119010195,450,450,BikeExchange,???,Avanti,road-bike,Avanti Questa 2 Wms (carbon),,Medium / Graphite / 55cm,,Shimano 105
118943705,3500,3500,BikeExchange,???,Nukeproof,road-bike,Nukeproof Reactor PRO 29er large Perfect Condition,,,Large,
119034470,7750,7750,BikeExchange,???,Canyon,road-bike,Canyon Aeroad CF SLX 8 AXS,,,Large,SRAM Rival AXS
119072047,4999,4999,BikeExchange,???,Cannondale,road-bike,"Cannondale Scalpel HT Black inc 27.5"" Small 2018",,Small / Black,,
119034724,2599,2599,BikeExchange,???,Cannondale,road-bike,Cannondale F-SI Carbon 2,,Medium / Orange,,
118841874,4250,4550,BikeExchange,???,Cervelo,road-bike,Cervelo S5 2018 size 56 with di2 dura ace R9150,,56cm / Black / 56cm,,Shimano Dura Ace Di2
119009005,5500,5500,BikeExchange,???,Merida,road-bike,eONE-FORTY 700 (Silk Dark Silver/Black),,XXL / Silver,,
118996365,800,800,BikeExchange,???,Jamis,road-bike,JAMIS RENEGADE A1,,,Large,"Shimano GRX 810, Tektro"
118995015,5000,5000,BikeExchange,???,Canyon,road-bike,CANYON SPECTRAL 29er CF8.0 | 2021 | Carbon Fibre,,,Medium,
119090042,2000,2000,BikeExchange,???,Liv,road-bike,XS women’s endurance road bike Avail Advanced SL,,,XS,Shimano Dura Ace Di2
118916584,1599,1599,BikeExchange,???,Focus,road-bike,Focus Cayo 48cm 2016,,XS / Black / 48cm,,Shimano Ultegra
118997396,6500,6500,BikeExchange,???,Fantic,road-bike,Fantic Integra XEF 1.9,,Medium / Green,,
119022557,5499,5499,BikeExchange,???,Kalkhoff,road-bike,Kalkhoff Endeavour 7B,,Medium / Grey/Black,,
118242065,395,395,BikeExchange,???,Diamondback,road-bike,Diamondback Outlook,,Large / Silver/Blue,,
119046576,600,600,BikeExchange,???,Mavic,road-bike,Wheelset MAVIC COSMIC CARBONE ULTIMATE 40MM CARBON TUBULAR WHEELSET 700C RIM BRAKE 1185G,,,,
119030691,995,995,BikeExchange,???,Merida,road-bike,Merida Time Warp4,,Large / Black/Red / 56cm,,Shimano 105
119072054,600,600,BikeExchange,???,Giant,road-bike,2018 Giant Contend SL1 disc XL - Great starter for a beginner,,,XL,Shimano 105
119051602,900,900,BikeExchange,???,Olympia,road-bike,2012 Olympia Karbo Race Full Carbon Size XL 56,,,XL,Campagnolo Athena
118857536,6200,6200,BikeExchange,???,Giant,road-bike,Giant Trance X Advanced E+ Elite 3,,,Small,
119064216,2600,2600,BikeExchange,???,Giant,road-bike,2015 Giant Defy Advanced Pro 0 - Medium,Defy Advanced Pro 0,Medium / Black/White / -,,Shimano Ultegra Di2
118910469,1750,1750,BikeExchange,???,Scott,road-bike,Scott Foil 40 with Shimano Ultegra Groupset and Reynolds Wheelset,,,56cm,Shimano Ultegra
119066057,6499,6499,BikeExchange,???,Mondraker,road-bike,Mondraker Dusk R XL 2021,,XL / Black,,
119112266,7700,7700,BikeExchange,???,Riese & Müller,road-bike,2017 Riese & Muller Delite GX- 49cm,,Small / Black,,
118848892,10500,10500,BikeExchange,???,Specialized,road-bike,Specialized s-works enduro LTD,,,Medium,
119064879,2000,2000,BikeExchange,???,Canyon,road-bike,Canyon Ultimate CF SL,,,Medium,Shimano Ultegra
115818791,800,800,BikeExchange,???,Felt,road-bike,Felt F5 2014,,,Large,Shimano 105
119030698,1400,1400,BikeExchange,???,NCM,road-bike,"NCM Milano T3 Step Trekking E-Bike, City Electric Bike, 250W, 48V 12Ah 576Wh Battery",,,Large,
